"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
146,"2020-12-01 00:02:50.1450","2020-12-01 00:05:16.1940",3202,"Newport PATH",40.7272235,-74.0337589,3199,"Newport Pkwy",40.7287448,-74.0321082,42308,"Subscriber",1989,2
572,"2020-12-01 00:11:57.3910","2020-12-01 00:21:30.2510",3640,"Journal Square",40.73367,-74.0625,3280,"Astor Place",40.71928220070702,-74.07126188278198,18568,"Subscriber",1997,2
387,"2020-12-01 00:14:49.3610","2020-12-01 00:21:16.8730",3640,"Journal Square",40.73367,-74.0625,3194,"McGinley Square",40.7253399253558,-74.06762212514877,44543,"Subscriber",1960,1
188,"2020-12-01 00:45:06.3680","2020-12-01 00:48:14.4280",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,43098,"Subscriber",1998,1
594,"2020-12-01 01:17:17.0110","2020-12-01 01:27:11.9400",3212,"Christ Hospital",40.734785818,-74.050443636,3209,"Brunswick St",40.7241765,-74.0506564,44723,"Subscriber",1988,1
269,"2020-12-01 01:52:22.5110","2020-12-01 01:56:52.1790",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73089709786179,-74.06391263008118,44543,"Customer",1969,0
4990,"2020-12-01 03:56:44.9650","2020-12-01 05:19:55.2110",3184,"Paulus Hook",40.7141454,-74.0335519,3792,"Columbus Dr at Exchange Pl",40.71687,-74.03281,45347,"Customer",1996,2
4947,"2020-12-01 03:57:31.4190","2020-12-01 05:19:58.8350",3184,"Paulus Hook",40.7141454,-74.0335519,3792,"Columbus Dr at Exchange Pl",40.71687,-74.03281,44555,"Customer",2000,1
213,"2020-12-01 04:51:25.2430","2020-12-01 04:54:58.8620",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73089709786179,-74.06391263008118,42230,"Subscriber",1980,1
306,"2020-12-01 05:20:26.3970","2020-12-01 05:25:32.5940",3199,"Newport Pkwy",40.7287448,-74.0321082,3187,"Warren St",40.7211236,-74.03805095,44937,"Subscriber",1981,1
327,"2020-12-01 05:25:51.7710","2020-12-01 05:31:19.1450",3199,"Newport Pkwy",40.7287448,-74.0321082,3275,"Columbus Drive",40.71835519823214,-74.03891444206238,45764,"Subscriber",1980,1
218,"2020-12-01 05:31:35.5080","2020-12-01 05:35:13.8190",3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,3195,"Sip Ave",40.73089709786179,-74.06391263008118,46537,"Subscriber",1981,1
1357,"2020-12-01 05:40:25.9360","2020-12-01 06:03:03.0140",3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,3639,"Harborside",40.7192517,-74.034234,41724,"Customer",1969,0
614,"2020-12-01 05:45:11.6680","2020-12-01 05:55:26.4780",3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,46290,"Subscriber",1996,1
375,"2020-12-01 05:54:55.5480","2020-12-01 06:01:11.2540",3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,3195,"Sip Ave",40.73089709786179,-74.06391263008118,48742,"Customer",1969,0
324,"2020-12-01 05:55:07.1210","2020-12-01 06:00:32.0220",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73089709786179,-74.06391263008118,42133,"Subscriber",1987,1
239,"2020-12-01 05:57:03.0350","2020-12-01 06:01:02.9510",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73089709786179,-74.06391263008118,14639,"Subscriber",1983,2
329,"2020-12-01 06:01:54.9100","2020-12-01 06:07:24.7940",3679,"Bergen Ave",40.722103786686034,-74.07145500183105,3195,"Sip Ave",40.73089709786179,-74.06391263008118,42492,"Subscriber",1996,1
